Participant;Part_Numb;Modality;IA;Creativity;UCP_N;N;TFD;Fix_count;First_pass;Regression;Reg_Count;ErrorPoints;Severity;ErrorCount;ErrorCounts
P03C;3;HT;De;Non-UCP;207;3;655,3333333;3,333333333;82;539,3333333;0,666666667;0;Not;0;No
P03C;3;HT;opgeknapt;Reproduction;19;1;794;5;258;716;0;0;Not;0;No
P03C;3;HT;Hij;Non-UCP;208;15;256,6666667;1,2;161;245,4666667;0,066666667;0;Not;0;No
P03C;3;HT;Een;Non-UCP;209;1;0;0;0;0;0;0;Not;0;No
P03C;3;HT;sardonische;Reproduction;20;3;1480;5,333333333;381;912;1;0;Not;0;No
P03C;3;HT;van;Non-UCP;210;17;391,2941176;2,058823529;172;261,6470588;0,470588235;0;Not;0;No
P03C;3;HT;Vroeger;Reproduction;21;1;266;1;266;266;0;0;Not;0;No
P03C;3;HT;toen;Non-UCP;211;13;437,8461538;1,923076923;236;349,8461538;0,384615385;0;Not;0;No
P03C;3;HT;Zo;CS;22;6;393,6666667;1,166666667;218;393,6666667;0;0;Not;0;No
P03C;3;HT;voordat;Non-UCP;212;6;330,6666667;1,333333333;229;330,6666667;0;0;Not;0;No
P03C;3;HT;Er;Non-UCP;213;8;458,75;1,875;246;325,25;0,25;1;Minor;1;Yes
P03C;3;HT;muurschildering;Reproduction;23;1;302;2;58;302;0;1;Minor;1;Yes
P03C;3;HT;waar;Non-UCP;214;4;246;1;246;246;0;1;Minor;1;Yes
P03C;3;HT;Mannen;Reproduction;24;9;218,4444444;1,111111111;171;218,4444444;0,111111111;0;Not;0;No
P03C;3;HT;spitten;Reproduction;25;12;434,8333333;1,75;224;394,5;0,25;0;Not;0;No
P03C;3;HT;Mannen;Non-UCP;215;4;458;2,25;190;343,5;0,75;0;Not;0;No
P03C;3;HT;paarse;Reproduction;26;4;516,5;2,5;273;449;0;0;Not;0;No
P03C;3;HT;snoeiden;Non-UCP;216;16;265,75;1,25;155;265,75;0;1;Minor;1;Yes
P03C;3;HT;verbrandingstonnen;CS;27;1;1080;5;172;1080;0;0;Not;0;No
P03C;3;HT;Er;Non-UCP;217;2;233;1;70;233;0;0;Not;0;No
P03C;3;HT;werkelijk;CS;28;4;334;1,75;186;237;0,5;0;Not;0;No
P03C;3;HT;zon;CS;29;5;291,2;1,4;169;291,2;0;0;Not;0;No
P03C;3;HT;tuin;Non-UCP;218;11;244,5454545;1,181818182;198;244,5454545;0;0;Not;0;No
P03C;3;HT;Elke;Non-UCP;219;6;318,3333333;1,333333333;226;226;0,166666667;0;Not;0;No
P03C;3;HT;klei;Reproduction;30;6;307;1,333333333;217;307;0;0;Not;0;No
P03C;3;HT;Er;CS;31;8;437,5;2,125;175;273,5;0,625;0;Not;0;No
P03C;3;HT;die;Non-UCP;220;6;228,3333333;1;176;228,3333333;0;0;Not;0;No
P03C;3;HT;Als;CS;32;8;427,5;1,625;300;378,75;0,5;0;Not;0;No
P03C;3;HT;Dan;CS;33;6;226;1,166666667;153;183,6666667;0,166666667;0;Not;0;No
P03C;3;HT;Ga;CS;34;8;271;1,125;208;271;0,25;0;Not;0;No
P03C;3;HT;Voor;CS;35;5;448,8;2,2;164;375,6;0,2;0;Not;0;No
P03C;3;HT;Als;CS;36;6;320;1,166666667;201;320;0,166666667;0;Not;0;No
P03C;3;HT;Dan;CS;37;4;252;1,25;151;252;0,25;0;Not;0;No
P03C;3;HT;Zal;CS;38;6;239,6666667;1;201;239,6666667;0;0;Not;0;No
P03C;3;HT;En;Reproduction;39;6;267,6666667;1,333333333;209;267,6666667;0,333333333;0;Not;0;No
P03C;3;HT;De;Non-UCP;221;2;381;2;68;381;0;0;Not;0;No
P03C;3;HT;keek;CS;40;3;245,3333333;1,333333333;219;218,6666667;0,333333333;0;Not;0;No
P03C;3;HT;de;Reproduction;41;5;592,4;2,8;186;390,4;0,4;0;Not;0;No
P03C;3;HT;Net;Non-UCP;222;4;365;1,5;150;273,5;0,25;0;Not;0;No
P03C;3;HT;Ik;Non-UCP;223;9;191,7777778;0,888888889;178;191,7777778;0,111111111;0;Not;0;No
P03C;3;HT;Waarom;Non-UCP;224;2;370;1,5;287;370;0;0;Not;0;No
P03C;3;HT;je;CS;42;2;218;1,5;169;218;0;0;Not;0;No
P03C;3;HT;dat;Non-UCP;225;1;326;1;326;326;0;0;Not;0;No
P03C;3;HT;dr;Non-UCP;226;7;192,5714286;0,857142857;177;177,4285714;0,285714286;0;Not;0;No
P03C;3;HT;Hij;Non-UCP;227;1;0;0;0;0;0;0;Not;0;No
P03C;3;HT;glimlachte;Reproduction;43;2;330;1,5;204;330;0;0;Not;0;No
P03C;3;HT;Het;Non-UCP;228;2;338;1;338;338;0;0;Not;0;No
P03C;3;HT;namelijk;CS;45;1;230;1;230;230;1;0;Not;0;No
P03C;3;HT;De;CS;44;5;509,2;2,4;213;263,2;0,4;0;Not;0;No
P03C;3;HT;Wat;Reproduction;47;3;470;2,666666667;203;320,6666667;0,666666667;5;Major;1;Yes
P03C;3;HT;dokter;Reproduction;46;2;479;2,5;166;166;1;5;Major;1;Yes
P03C;3;HT;zei;Non-UCP;229;12;423,3333333;2,166666667;214;297,8333333;0,666666667;0;Not;0;No
P03C;3;HT;wiens;CS;48;6;498,3333333;2,666666667;192;286,6666667;0,166666667;0;Not;0;No
P03C;3;HT;dokter;Non-UCP;230;3;554,6666667;2,666666667;195;312,6666667;0,333333333;0;Not;0;No
P03C;3;HT;Hitz;Non-UCP;231;3;420,6666667;2,333333333;153;370;0,333333333;0;Not;0;No
P03C;3;HT;hoofd;Reproduction;49;2;499;2;232;429;0,5;0;Not;0;No
P03C;3;HT;van;Non-UCP;232;4;330,5;2;129;330,5;0;0;Not;0;No
P03C;3;HT;een;CS;50;4;304;1,75;186;288,5;0,75;0;Not;0;No
P03C;3;HT;Er;Non-UCP;233;3;240;1,333333333;124;167,3333333;0;1;Minor;1;Yes
P03C;3;HT;nog;Reproduction;52;3;537,3333333;2,666666667;194;325,3333333;0;1;Minor;1;Yes
P03C;3;HT;een;CS;51;2;106;0,5;106;106;0,5;1;Minor;1;Yes
P03C;3;HT;zei;Non-UCP;234;3;230;1,333333333;116;230;0,333333333;0;Not;0;No
P03C;3;HT;Hij;Non-UCP;235;8;225,25;1;147;225,25;0,25;0;Not;0;No
P03C;3;HT;nog;CS;53;3;230,6666667;1,333333333;151;230,6666667;0;0;Not;0;No
P03C;3;HT;hadden;Non-UCP;236;1;298;2;222;298;0;0;Not;0;No
P03C;3;HT;Alle;Non-UCP;237;21;184,4761905;1;150;184,4761905;0,047619048;1;Minor;1;Yes
P03C;3;HT;Federale;CS;54;4;509,5;2,25;164;509,5;0,25;1;Minor;1;Yes
P03C;3;HT;Wat;Reproduction;55;10;260,6;1,2;168;237,8;0,1;0;Not;0;No
P03C;3;HT;zei;Non-UCP;238;3;343,3333333;2;195;343,3333333;0,333333333;0;Not;0;No
P03C;3;HT;Het;Non-UCP;239;5;168,4;1;142;168,4;0;0;Not;0;No
P03C;3;HT;vertrok;Reproduction;56;3;345,3333333;1,666666667;195;345,3333333;0;0;Not;0;No
P03C;3;HT;Denk;Reproduction;57;2;96;0,5;96;96;0;0;Not;0;No
P03C;3;HT;dat;Non-UCP;240;5;129,2;0,6;129;129,2;0;0;Not;0;No
P03C;3;HT;dit;CS;58;2;290;1;185;290;0,5;0;Not;0;No
P03C;3;HT;zei;Non-UCP;241;2;143;0,5;143;143;0,5;0;Not;0;No
P03C;3;HT;Denk;Non-UCP;242;12;196,5;1,166666667;126;178,6666667;0,166666667;0;Not;0;No
P03C;3;HT;Hoe;Non-UCP;243;2;175;1;175;175;0;0;Not;0;No
P03C;3;HT;u;CS;59;1;354;2;166;166;0;0;Not;0;No
P03C;3;HT;het;Non-UCP;244;9;318,2222222;1,444444444;186;301,1111111;0,333333333;0;Not;0;No
P03C;3;HT;De;Non-UCP;245;5;402;2;207;266,4;0,4;0;Not;0;No
P03C;3;HT;smerig;Reproduction;60;2;740;4;185;494;0;0;Not;0;No
P03C;3;HT;Dat;Reproduction;61;6;288;1,333333333;207;249,3333333;0,166666667;0;Not;0;No
P03C;3;HT;zei;Non-UCP;246;2;503;2;245;503;0;0;Not;0;No
P03C;3;HT;Doe;Non-UCP;247;10;280,6;1,3;139;190,2;0,4;0;Not;0;No
P03C;3;HT;een;CS;62;3;380;2;180;288;0;0;Not;0;No
P03C;3;HT;is;Non-UCP;248;4;324;1,5;149;221;0,25;0;Not;0;No
P03C;3;HT;U;Non-UCP;249;3;153,3333333;1;105;153,3333333;0,333333333;0;Not;0;No
P03C;3;HT;een;CS;63;3;464,6666667;2;184;464,6666667;0;1;Minor;1;Yes
P03C;3;HT;zeg;Non-UCP;250;4;302,5;1,75;149;302,5;0,25;0;Not;0;No
P03C;3;HT;Dat;Non-UCP;251;8;213,25;1;139;174;0,125;0;Not;0;No
P03C;3;HT;De;Non-UCP;252;6;233;1;146;233;0,5;0;Not;0;No
P03C;3;HT;Als;Non-UCP;253;6;598;2,166666667;286;421,6666667;0,166666667;0;Not;0;No
P03C;3;HT;opa;Reproduction;64;1;220;1;220;220;0;0;Not;0;No
P03C;3;HT;zei;Non-UCP;254;10;269,4;1,2;198;244;0,1;0;Not;0;No
P03C;3;HT;geestige;CS;65;2;200;1;200;200;0,5;0;Not;0;No
P03C;3;HT;dat;Non-UCP;255;9;235,1111111;1,222222222;168;212,6666667;0,222222222;0;Not;0;No
P03C;3;HT;Voor;CS;66;13;391,6923077;1,615384615;189;391,6923077;0,615384615;5;Major;1;Yes
P03C;3;HT;was:;Reproduction;67;7;125,8571429;0,428571429;48,33333333;73,0952381;0,023809524;0;Not;0;No
P03C;3;HT;Dit;Non-UCP;256;8;252,75;1,25;152;201;0,25;0;Not;0;No
P03C;3;HT;ook;CS;68;1;264;1;264;264;0;0;Not;0;No
P03C;3;HT;wel;Non-UCP;257;1;226;1;226;226;1;0;Not;0;No
P03C;3;HT;bekend;CS;69;3;234;1,333333333;166;166;0;1;Minor;1;Yes
P03C;3;HT;Automatiek;Reproduction;70;1;1104;5;284;1104;1;0;Not;0;No
P03C;3;HT;Geheim;CS;71;2;793;3,5;172;726;0,5;0;Not;0;No
P03C;3;HT;Inmakerij;Reproduction;72;1;1030;4;284;1030;0;0;Not;0;No
P03C;3;HT;Kattenbak;Reproduction;73;1;436;2;214;436;0;0;Not;0;No
P03C;3;HT;Verdelger;CS;74;1;792;4;326;494;0;0;Not;0;No
P03C;3;HT;Zo;CS;75;2;616;2;352;507;0,5;0;Not;0;No
P03C;3;HT;Vaarwel;Reproduction;76;2;480;2;248;480;0;0;Not;0;No
P03C;3;HT;Blijde;CS;77;2;377;1,5;82;377;0,5;0;Not;0;No
P03C;3;HT;Genadeslag;CS;78;1;816;3;88;816;0;0;Not;0;No
P03C;3;HT;Snikkelaar;CS;79;1;810;4;298;810;1;0;Not;0;No
P03C;3;HT;Ontsmettingsbad;CS;80;1;1068;3;272;1068;0;0;Not;0;No
P03C;3;HT;Hakmolen;CS;81;1;714;3;296;608;0;0;Not;0;No
P03C;3;HT;Tranendroger;CS;82;1;954;4;314;786;1;0;Not;0;No
P03C;3;HT;en;Non-UCP;258;1;0;0;0;0;0;0;Not;0;No
P03C;3;HT;Geen;CS;83;2;530;3;132;410;0;0;Not;0;No
P03C;3;HT;To;Reproduction;84;6;135,6666667;0,666666667;113;135,6666667;0;0;Not;0;No
P03C;3;HT;was;Non-UCP;259;9;456,4444444;1,666666667;234;435,7777778;0,111111111;0;Not;0;No
P03C;3;HT;Federale;CS;85;2;637;3;225;637;0;0;Not;0;No
P03C;3;HT;De;Non-UCP;260;7;382,5714286;1,714285714;181;352;0;0;Not;0;No
P03C;3;HT;Als;Non-UCP;261;13;149,8461538;0,769230769;115;149,8461538;0,153846154;0;Not;0;No
P03C;3;HT;ga;Non-UCP;262;7;279,1428571;1,285714286;172;209,7142857;0,428571429;0;Not;0;No
P03C;3;HT;Aha;Non-UCP;263;2;287;1,5;195;287;0,5;0;Not;0;No
P03C;3;HT;doe-het-zelver;Reproduction;86;1;662;4;50;530;1;0;Not;0;No
P03C;3;HT;zei;Non-UCP;264;3;232;1,333333333;91;232;0;0;Not;0;No
P03C;3;HT;Dat;CS;87;6;239,1428571;1,285714286;202;223,7142857;0,285714286;0;Not;0;No
P03C;3;HT;Waarom;Non-UCP;265;15;169,6;0,933333333;124;169,6;0,2;0;Not;0;No
P03C;3;HT;Met;CS;88;6;268,2857143;1,285714286;159;228,5714286;0,285714286;0;Not;0;No
P03C;3;HT;de;Non-UCP;266;3;330;2;153;274,6666667;0,333333333;0;Not;0;No
P03C;3;HT;gebrek;Reproduction;89;3;310,6666667;1,666666667;143;260;0,666666667;0;Not;0;No
P03C;3;HT;voor;Non-UCP;267;2;219;1;219;219;0,5;0;Not;0;No
P03C;3;HT;beproeving;Reproduction;90;1;982;3;202;982;0;0;Not;0;No
P03C;3;HT;van;Non-UCP;268;5;370,4;2,2;180;300,4;0,2;0;Not;0;No
P03C;3;HT;De;Non-UCP;269;2;228;1,5;160;228;0;0;Not;0;No
P03C;3;HT;kan;Reproduction;91;3;281,3333333;1,333333333;183;281,3333333;0,333333333;0;Not;0;No
P03C;3;HT;wat;Non-UCP;270;3;184,6666667;1;185;184,6666667;0,333333333;0;Not;0;No
P03C;3;HT;als;Non-UCP;271;7;247,4285714;1,142857143;180;202,8571429;0,142857143;0;Not;0;No
P03C;3;HT;De;Non-UCP;272;10;214;1;121;203,2;0,1;0;Not;0;No
P03C;3;HT;Wehling;Non-UCP;273;12;388;1,666666667;190;308,8333333;0,166666667;0;Not;0;No
P03C;3;HT;En;Non-UCP;274;5;192,4;0,8;155;192,4;0,2;0;Not;0;No
P03C;3;HT;Er;Non-UCP;275;1;0;0;0;0;0;0;Not;0;No
P03C;3;HT;beende;Reproduction;94;4;363,5;1,5;122;363,5;0;0;Not;0;No
P03C;3;HT;forse;Reproduction;92;3;410,6666667;1,666666667;247;410,6666667;0;0;Not;0;No
P03C;3;HT;op;Non-UCP;276;1;0;0;0;0;0;0;Not;0;No
P03C;3;HT;naaldhakken;Reproduction;93;1;490;3;120;490;0;0;Not;0;No
P03C;3;HT;Haar;Non-UCP;277;6;320,6666667;1,833333333;152;320,6666667;0,166666667;0;Not;0;No
P03C;3;HT;baret;CS;95;1;360;2;172;360;0;0;Not;0;No
P03C;3;HT;waren;Non-UCP;278;8;262,75;1,125;181;232,75;0,25;0;Not;0;No
P03C;3;HT;de;Reproduction;96;9;330,2222222;1,666666667;205;290,2222222;0,333333333;0;Not;0;No
P03C;3;HT;noemdenDe;Non-UCP;279;1;1104;6;48;1104;0;0;Not;0;No
P03C;3;HT;penning;Reproduction;99;1;392;2;216;392;0;0;Not;0;No
P03C;3;HT;op;Non-UCP;280;3;485,3333333;1,666666667;240;485,3333333;0;0;Not;0;No
P03C;3;HT;ransel;CS;97;1;426;1;426;426;0;0;Not;0;No
P03C;3;HT;was;Non-UCP;281;5;215,2;1;155;215,2;0;0;Not;0;No
P03C;3;HT;Bijstandsafdeling;CS;98;1;1044;5;90;1044;1;0;Not;0;No
P03C;3;HT;van;Non-UCP;282;9;303,3333333;1,333333333;168;303,3333333;0,222222222;1;Minor;1;Yes
P03C;3;HT;vrouw;Non-UCP;283;5;428;2,6;149;381,6;0;0;Not;0;No
P03C;3;HT;Sterker;Non-UCP;284;3;232,6666667;1;233;232,6666667;0,333333333;0;Not;0;No
P03C;3;HT;kon;CS;100;6;292;1,333333333;215;242,6666667;0;0;Not;0;No
P03C;3;HT;Een;Non-UCP;285;28;236,0714286;1,214285714;140;229;0,035714286;0;Not;0;No
P03C;3;HT;een;CS;101;4;144,5;0,75;145;144,5;0;1;Minor;1;Yes
P03C;3;HT;Ben;Non-UCP;286;12;271,6666667;1,416666667;203;250;0,416666667;0;Not;0;No
P03C;3;HT;Dat;Non-UCP;287;5;268,8;1,6;142;212,4;0;0;Not;0;No
P03C;3;HT;waar;CS;102;4;178,5;1,25;137;178,5;0,25;0;Not;0;No
P03C;3;HT;zei;Non-UCP;288;2;235;1;235;235;0;0;Not;0;No
P03C;3;HT;U;Non-UCP;289;10;188;0,9;134;165,2;0;0;Not;0;No
P03C;3;HT;Ik;Non-UCP;290;14;201,5714286;1;155;201,5714286;0,071428571;0;Not;0;No
P03C;3;HT;ben;Non-UCP;291;1;214;1;214;214;0;0;Not;0;No
P03C;3;HT;Leora;Reproduction;103;2;623;2,5;224;623;0,5;0;Not;0;No
P03C;3;HT;Ze;Non-UCP;292;3;219,3333333;1,333333333;134;219,3333333;0,333333333;0;Not;0;No
P03C;3;HT;En;Non-UCP;293;2;303;1,5;99;303;0;0;Not;0;No
P03C;3;HT;verdelgt;CS;104;3;335,3333333;1,666666667;161;250;1,666666667;0;Not;0;No
P03C;3;HT;zei;Non-UCP;294;2;296;0,5;296;296;0;0;Not;0;No
P03C;3;HT;H?;Non-UCP;295;1;562;3;132;132;0;1;Minor;1;Yes
P03C;3;HT;Laat;Non-UCP;296;4;448,5;2,5;140;318;0;0;Not;0;No
P03C;3;HT;Dat;Non-UCP;297;9;209,7777778;1;155;209,7777778;0,444444444;0;Not;0;No
P03C;3;HT;Het;Reproduction;105;7;291,7142857;1,571428571;190;222,5714286;0,285714286;0;Not;0;No
P03C;3;HT;Of;Reproduction;106;2;178;1;71;178;0;0;Not;0;No
P03C;3;HT;zei;Non-UCP;298;3;165,3333333;1,333333333;143;142,6666667;0;0;Not;0;No
P03C;3;HT;Hij;Non-UCP;299;11;141,0909091;0,727272727;108;141,0909091;0;0;Not;0;No
P03C;3;HT;kiel;Reproduction;107;1;960;4;252;252;0;0;Not;0;No
P03C;3;HT;Duncan;Non-UCP;300;12;226,5;1,083333333;170;195,6666667;0,083333333;0;Not;0;No
P03C;3;HT;Ja;Non-UCP;301;4;237;1;175;237;0;1;Minor;1;Yes
P03C;3;HT;U;Non-UCP;302;2;91;0,5;91;91;0;0;Not;0;No
P03C;3;HT;het;Reproduction;108;6;278,6666667;1,333333333;176;262;0,333333333;0;Not;0;No
P03C;3;HT;Ziet;Non-UCP;303;4;363;1,5;243;298,5;0,5;0;Not;0;No
P03C;3;HT;lichaam;Reproduction;109;3;128;0,666666667;128;128;0;0;Not;0;No
P03C;3;HT;tussen;Non-UCP;304;4;356,5;1,75;173;298,5;0;0;Not;0;No
P03C;3;HT;het;Reproduction;110;4;199;0,75;199;199;0;0;Not;0;No
P03C;3;HT;zou;Non-UCP;305;2;83;0,5;83;83;0;0;Not;0;No
P03C;3;HT;Er;Non-UCP;306;4;156,5;0,75;157;156,5;0,25;5;Major;1;Yes
P03C;3;HT;een;CS;111;2;112;0,5;112;112;0,5;5;Major;1;Yes
P03C;3;HT;open;Non-UCP;307;1;82;1;82;82;0;5;Major;1;Yes
P03C;3;HT;Ze;Non-UCP;308;6;204,6666667;1,166666667;159;204,6666667;0,166666667;0;Not;0;No
P03C;3;HT;Jeetje;Reproduction;112;1;446;3;132;446;0;0;Not;0;No
P03C;3;HT;zei;Non-UCP;309;8;195;0,875;134;167,5;0;0;Not;0;No
P03C;3;HT;Ik;Non-UCP;310;6;207,6666667;1,166666667;133;207,6666667;0;0;Not;0;No
P03C;3;HT;Een;Reproduction;113;6;175;0,833333333;175;175;0;1;Minor;1;Yes
P03C;3;HT;zei;Non-UCP;311;2;214;1;214;214;0;0;Not;0;No
P03C;3;HT;Goed;CS;114;2;161;1;161;161;0;0;Not;0;No
P03C;3;HT;Als;Non-UCP;312;10;155,4;0,7;138;155,4;0,1;1;Minor;1;Yes
P03C;3;HT;Hij;Non-UCP;313;4;151,5;1;152;151,5;0;0;Not;0;No
P03C;3;HT;gezichtloze;CS;115;2;221;1,5;129;221;0;0;Not;0;No
P03C;3;HT;van;Non-UCP;314;10;318;1,5;129;318;0,1;0;Not;0;No
P03C;3;HT;Tja;Reproduction;116;1;128;1;128;128;0;0;Not;0;No
P03C;3;HT;zei;Non-UCP;315;7;280,5714286;1,285714286;136;205,1428571;0;0;Not;0;No
P03C;3;HT;ruimers;CS;117;1;350;2;222;350;0;0;Not;0;No
P03C;3;HT;toch?;Non-UCP;316;3;182;0,666666667;182;182;0;0;Not;0;No
P03C;3;HT;ik;CS;118;3;294,6666667;1,333333333;223;294,6666667;0,333333333;0;Not;0;No
P03C;3;HT;Ik;Non-UCP;317;8;225;1,25;128;170,5;0;0;Not;0;No
P03C;3;HT;De;Non-UCP;318;3;264,6666667;1,333333333;215;264,6666667;0,333333333;0;Not;0;No
P03C;3;HT;met;Reproduction;119;3;406;2,333333333;178;317,3333333;0,333333333;0;Not;0;No
P03C;3;HT;in;Non-UCP;319;3;176,6666667;1;91;176,6666667;0;0;Not;0;No
P03C;3;HT;U;Non-UCP;320;22;206,2727273;0,909090909;156;200,2727273;0,045454545;0;Not;0;No
P03C;3;HT;Halmendraagster;Reproduction;120;1;1056;5;154;1056;1;0;Not;0;No
P03C;3;HT;past;Non-UCP;321;6;248,6666667;1,666666667;128;248,6666667;0;0;Not;0;No
P03C;3;HT;Een;Non-UCP;322;3;226,6666667;1;182;226,6666667;0;0;Not;0;No
P03C;3;HT;snoeister;Reproduction;121;1;386;2;166;386;0;0;Not;0;No
P03C;3;HT;dat;CS;122;5;286,8;1,4;140;264,4;0,2;0;Not;0;No
P03C;3;HT;Hij;Non-UCP;323;16;185,25;0,9375;145;185,25;0;0;Not;0;No
P03C;3;HT;Wat;Non-UCP;324;7;201,7142857;1;156;180,2857143;0,285714286;0;Not;0;No
P03C;3;HT;Is;Non-UCP;325;4;211,5;1,25;133;211,5;0,25;0;Not;0;No
P03C;3;HT;Gossie;Reproduction;123;1;388;2;184;388;0;0;Not;0;No
P03C;3;HT;zei;Non-UCP;326;7;181,1428571;0,714285714;181;181,1428571;0,142857143;0;Not;0;No
P03C;3;HT;dan;Non-UCP;327;10;206,2;1;188;206,2;0,2;0;Not;0;No
P03C;3;HT;Vind;Non-UCP;328;6;250,3333333;1,166666667;180;186;0,166666667;0;Not;0;No
P03C;3;HT;Grote;CS;124;2;309;2;174;309;0;0;Not;0;No
P03C;3;HT;nee!;Non-UCP;329;3;102;0,666666667;102;102;1;0;Not;0;No
P03C;3;HT;Het;Non-UCP;330;9;209,7777778;1,111111111;153;172,2222222;0,444444444;0;Not;0;No
P03C;3;HT;Aha;CS;126;6;238,3333333;1,5;131;193,3333333;0,5;0;Not;0;No
P03C;3;HT;u;CS;125;1;180;1;180;180;0;0;Not;0;No
P03C;3;HT;vroeg;Non-UCP;331;2;203;1;70;203;0,5;0;Not;0;No
P03C;3;HT;Wie;Non-UCP;332;13;528,9230769;2,230769231;282;345,6923077;0;1;Minor;1;Yes
P03C;3;HT;Het;Non-UCP;333;13;435,2307692;1,769230769;214;329,6923077;0,307692308;0;Not;0;No
P03C;3;HT;Wie;Non-UCP;334;7;266;1,714285714;138;246,8571429;0,428571429;0;Not;0;No
P03C;3;HT;Hij;Non-UCP;335;9;359,5555556;1,777777778;168;290,2222222;0,333333333;5;Major;1;Yes
P03C;3;HT;Niets;Reproduction;127;5;219,6;1,4;159;219,6;0,2;0;Not;0;No
P03C;3;HT;zei;Non-UCP;336;11;222,3636364;1,090909091;162;211,4545455;0,181818182;0;Not;0;No
P03C;3;HT;Een;Non-UCP;337;7;230,5714286;1,285714286;165;230,5714286;0;0;Not;0;No
P03C;3;HT;Zoiets;Reproduction;128;2;217;1;217;217;0;1;Minor;1;Yes
P03C;3;HT;doe;Non-UCP;338;6;187,3333333;0,833333333;187;187,3333333;0;1;Minor;1;Yes
P03C;3;HT;Ze;CS;129;6;246;1;177;246;0,333333333;0;Not;0;No
