Participant;Part_Numb;Modality;TFD;Fix_count;First_pass;Regression;Reg_Count;IA;Creativity;Errors;Errors.check;Error_Type;Severity;Errorcombination;ErrorPoint;ErrorCount;Freq
P03C;3;HT;438;2;166;438;0;oorlogen;Non-UCP;Error;2;Accuracy;Minor;AccMin;1;1;4,14
P03C;3;HT;184;1;184;184;1;Alle;Non-UCP;Not;1;Not;Not;Not;0;0;5,97
P03C;3;HT;162;1;162;162;0;ziektes;Non-UCP;Not;1;Not;Not;Not;0;0;3,99
P03C;3;HT;334;2;182;334;0;waren;Non-UCP;Not;1;Not;Not;Not;0;0;5,92
P03C;3;HT;616;3;256;616;0;overwonnen;Non-UCP;Not;1;Not;Not;Not;0;0;3,48
P03C;3;HT;210;1;210;210;0;Dat;Reproduction;Not;1;Not;Not;Not;0;0;7,1
P03C;3;HT;0;0;0;0;0;gold;Reproduction;Not;1;Not;Not;Not;0;0;4,33
P03C;3;HT;252;1;252;252;0;ook;Reproduction;Not;1;Not;Not;Not;0;0;6,69
P03C;3;HT;290;1;290;290;0;voor;Reproduction;Not;1;Not;Not;Not;0;0;7,05
P03C;3;HT;506;3;206;506;0;ouderdom;Reproduction;Not;1;Not;Not;Not;0;0;3,7
P03C;3;HT;0;0;0;0;0;De;Non-UCP;Not;1;Not;Not;Not;0;0;7,73
P03C;3;HT;594;3;116;594;0;dood;Non-UCP;Not;1;Not;Not;Not;0;0;5,57
P03C;3;HT;896;4;292;896;0;ongelukjes;Reproduction;Error;2;Accuracy;Minor;AccMin;1;1;2,66
P03C;3;HT;470;2;258;470;0;daargelaten;Reproduction;Not;1;Not;Not;Not;0;0;2,62
P03C;3;HT;214;1;214;214;0;was;Non-UCP;Not;1;Not;Not;Not;0;0;6,61
P03C;3;HT;250;1;250;250;0;een;Non-UCP;Not;1;Not;Not;Not;0;0;7,41
P03C;3;HT;526;2;258;526;0;avontuur;Non-UCP;Not;1;Not;Not;Not;0;0;4,24
P03C;3;HT;0;0;0;0;0;voor;Non-UCP;Not;1;Not;Not;Not;0;0;7,05
P03C;3;HT;678;3;142;678;0;vrijwilligers;Reproduction;Not;1;Not;Not;Not;0;0;4,71
P03C;3;HT;142;1;142;142;1;Met;Non-UCP;Not;1;Not;Not;Not;0;0;7
P03C;3;HT;826;5;100;446;2;veertig;Non-UCP;Not;1;Not;Not;Not;0;0;4,3
P03C;3;HT;1132;6;414;414;2;miljoen;Non-UCP;Not;1;Not;Not;Not;0;0;5,33
P03C;3;HT;1776;7;244;600;2;stervelingen;Non-UCP;Not;1;Not;Not;Kudos;0;0;2,68
P03C;3;HT;702;3;124;310;0;was;CS;Not;1;Not;Not;Not;0;0;6,61
P03C;3;HT;424;2;234;234;0;het;Non-UCP;Not;1;Not;Not;Not;0;0;7,49
P03C;3;HT;1226;6;204;560;1;inwonersaantal;Non-UCP;Not;1;Not;Not;Not;0;0;2,19
P03C;3;HT;0;0;0;0;0;van;Non-UCP;Not;1;Not;Not;Not;0;0;7,51
P03C;3;HT;596;3;274;274;0;de;Non-UCP;Not;1;Not;Not;Not;0;0;7,73
P03C;3;HT;302;2;146;146;0;Verenigde;Non-UCP;Not;1;Not;Not;Not;0;0;5,21
P03C;3;HT;524;3;220;384;0;staten;Non-UCP;Error;2;Fluency;Minor;FluMin;1;1;5,17
P03C;3;HT;0;0;0;0;0;in;CS;Not;1;Not;Not;Not;0;0;7,36
P03C;3;HT;632;3;228;406;0;evenwicht;CS;Not;1;Not;Not;Not;0;0;3,95
P03C;3;HT;584;3;244;408;1;gebracht;CS;Not;1;Not;Not;Not;0;0;5,05
P03C;3;HT;0;0;0;0;0;Op;Non-UCP;Not;1;Not;Not;Not;0;0;7,12
P03C;3;HT;290;2;156;290;0;een;Non-UCP;Not;1;Not;Not;Not;0;0;7,41
P03C;3;HT;550;2;402;550;0;stralende;Non-UCP;Not;1;Not;Not;Not;0;0;3,4
P03C;3;HT;284;1;284;284;0;ochtend;Non-UCP;Not;1;Not;Not;Not;0;0;4,81
P03C;3;HT;298;1;298;298;0;zat;Non-UCP;Not;1;Not;Not;Not;0;0;5,21
P03C;3;HT;198;1;198;198;0;er;Non-UCP;Not;1;Not;Not;Not;0;0;6,78
P03C;3;HT;164;1;164;164;0;een;Non-UCP;Not;1;Not;Not;Not;0;0;7,41
P03C;3;HT;0;0;0;0;0;man;Non-UCP;Not;1;Not;Not;Not;0;0;5,85
P03C;3;HT;290;1;290;290;0;genaamd;Non-UCP;Not;1;Not;Not;Not;0;0;4,73
P03C;3;HT;532;2;312;532;0;Edward;Reproduction;Not;1;Not;Not;Not;0;0;4,16
P03C;3;HT;200;1;200;200;0;K;Reproduction;Not;1;Not;Not;Not;0;0;4,79
P03C;3;HT;780;2;320;320;1;Wehling;Reproduction;Not;1;Not;Not;Not;0;0;0
P03C;3;HT;224;1;224;224;0;jr;Non-UCP;Not;1;Not;Not;Not;0;0;4,43
P03C;3;HT;238;1;238;238;0;in;Non-UCP;Not;1;Not;Not;Not;0;0;7,36
P03C;3;HT;220;1;220;220;0;het;Non-UCP;Not;1;Not;Not;Not;0;0;7,49
P03C;3;HT;810;3;274;810;0;Geboortehuis;CS;Not;1;Not;Not;Not;0;0;2,6
P03C;3;HT;164;1;164;164;0;van;CS;Not;1;Not;Not;Not;0;0;7,51
P03C;3;HT;818;5;154;456;1;Chicago;CS;Not;1;Not;Not;Not;0;0;4,22
P03C;3;HT;150;1;150;150;0;te;Reproduction;Not;1;Not;Not;Not;0;0;7,02
P03C;3;HT;338;2;146;338;0;wachten;Reproduction;Not;1;Not;Not;Not;0;0;5,36
P03C;3;HT;278;1;278;278;0;tot;Reproduction;Not;1;Not;Not;Not;0;0;6,39
P03C;3;HT;156;1;156;156;0;zijn;Reproduction;Not;1;Not;Not;Not;0;0;6,96
P03C;3;HT;174;1;174;174;0;vrouw;Reproduction;Not;1;Not;Not;Not;0;0;5,73
P03C;3;HT;322;1;322;322;0;zou;Reproduction;Not;1;Not;Not;Not;0;0;6,17
P03C;3;HT;876;4;204;754;1;bevallen;Reproduction;Not;1;Not;Not;Not;0;0;4,1
P03C;3;HT;0;0;0;0;0;Hij;Non-UCP;Not;1;Not;Not;Kudos;0;0;6,7
P03C;3;HT;360;2;158;158;2;was;Non-UCP;Not;1;Not;Not;Kudos;0;0;6,61
P03C;3;HT;538;3;106;380;1;de;CS;Not;1;Not;Not;Kudos;0;0;7,73
P03C;3;HT;384;2;238;238;0;enige;CS;Not;1;Not;Not;Kudos;0;0;5,5
P03C;3;HT;796;3;274;796;0;wachtende;CS;Not;1;Not;Not;Kudos;0;0;2,97
P03C;3;HT;184;1;184;184;0;Zoveel;CS;Not;1;Not;Not;Not;0;0;5,33
P03C;3;HT;304;1;304;304;0;mensen;CS;Not;1;Not;Not;Not;0;0;6,21
P03C;3;HT;218;1;218;218;0;werden;CS;Not;1;Not;Not;Not;0;0;5,78
P03C;3;HT;0;0;0;0;0;er;CS;Not;1;Not;Not;Not;0;0;6,78
P03C;3;HT;554;2;230;230;1;op;CS;Not;1;Not;Not;Not;0;0;7,12
P03C;3;HT;348;2;114;348;1;een;CS;Not;1;Not;Not;Not;0;0;7,41
P03C;3;HT;322;2;152;152;1;dag;CS;Not;1;Not;Not;Not;0;0;5,99
P03C;3;HT;0;0;0;0;0;niet;CS;Not;1;Not;Not;Not;0;0;6,96
P03C;3;HT;236;1;236;236;0;meer;CS;Not;1;Not;Not;Not;0;0;6,44
P03C;3;HT;620;2;134;620;0;geboren;CS;Not;1;Not;Not;Not;0;0;5,12
P03C;3;HT;358;1;358;358;0;Wehling;Non-UCP;Not;1;Not;Not;Not;0;0;0
P03C;3;HT;284;1;284;284;0;was;Non-UCP;Not;1;Not;Not;Not;0;0;6,61
P03C;3;HT;940;2;660;940;0;zesenvijftig;Non-UCP;Not;1;Not;Not;Not;0;0;1,9
P03C;3;HT;188;1;188;188;0;een;Reproduction;Not;1;Not;Not;Not;0;0;7,41
P03C;3;HT;166;1;166;166;0;jochie;Reproduction;Not;1;Not;Not;Not;0;0;3,55
P03C;3;HT;194;1;194;194;0;nog;Non-UCP;Not;1;Not;Not;Not;0;0;6,53
P03C;3;HT;0;0;0;0;0;in;Non-UCP;Not;1;Not;Not;Not;0;0;7,36
P03C;3;HT;204;1;204;204;0;een;Non-UCP;Not;1;Not;Not;Not;0;0;7,41
P03C;3;HT;194;1;194;194;0;bevolking;Non-UCP;Not;1;Not;Not;Not;0;0;4,95
P03C;3;HT;0;0;0;0;0;met;Non-UCP;Not;1;Not;Not;Not;0;0;7
P03C;3;HT;222;1;222;222;0;een;Non-UCP;Not;1;Not;Not;Not;0;0;7,41
P03C;3;HT;184;1;184;184;0;gemiddelde;Non-UCP;Not;1;Not;Not;Not;0;0;4,69
P03C;3;HT;186;1;186;186;0;leeftijd;Non-UCP;Not;1;Not;Not;Not;0;0;5,21
P03C;3;HT;120;1;120;120;0;van;Non-UCP;Not;1;Not;Not;Not;0;0;7,51
P03C;3;HT;2560;10;98;1960;1;honderdnegenentwintig;Non-UCP;Not;1;Not;Not;Not;0;0;0
P03C;3;HT;136;1;136;136;0;jaar;Non-UCP;Not;1;Not;Not;Not;0;0;6,25
P03C;3;HT;0;0;0;0;0;Uit;Non-UCP;Not;1;Not;Not;Not;0;0;6,65
P03C;3;HT;1150;5;216;1150;0;ršntgenfotos;Reproduction;Not;1;Not;Not;Not;0;0;0
P03C;3;HT;196;1;196;196;0;was;Non-UCP;Not;1;Not;Not;Not;0;0;6,61
P03C;3;HT;224;1;224;224;0;gebleken;Non-UCP;Not;1;Not;Not;Not;0;0;4,1
P03C;3;HT;182;1;182;182;0;dat;Non-UCP;Not;1;Not;Not;Not;0;0;7,1
P03C;3;HT;162;1;162;162;0;zijn;Non-UCP;Not;1;Not;Not;Not;0;0;6,96
P03C;3;HT;0;0;0;0;0;vrouw;Non-UCP;Not;1;Not;Not;Not;0;0;5,73
P03C;3;HT;0;0;0;0;0;een;Non-UCP;Not;1;Not;Not;Not;0;0;7,41
P03C;3;HT;456;2;212;456;0;drieling;Non-UCP;Not;1;Not;Not;Not;0;0;2,87
P03C;3;HT;262;1;262;262;0;verwachtte;Non-UCP;Not;1;Not;Not;Not;0;0;4,05
P03C;3;HT;0;0;0;0;0;Het;Non-UCP;Not;1;Not;Not;Not;0;0;7,49
P03C;3;HT;530;2;202;202;1;zouden;Non-UCP;Not;1;Not;Not;Not;0;0;5,44
P03C;3;HT;336;2;142;336;0;zijn;Non-UCP;Not;1;Not;Not;Not;0;0;6,96
P03C;3;HT;184;1;184;184;0;eerste;Non-UCP;Not;1;Not;Not;Not;0;0;6,02
P03C;3;HT;276;1;276;276;1;kinderen;Non-UCP;Not;1;Not;Not;Not;0;0;5,75
P03C;3;HT;570;2;90;570;0;zijn;Non-UCP;Not;1;Not;Not;Not;0;0;6,96
P03C;3;HT;0;0;0;0;0;De;Non-UCP;Not;1;Not;Not;Not;0;0;7,73
P03C;3;HT;654;2;504;654;0;jonge;Non-UCP;Not;1;Not;Not;Not;0;0;5,25
P03C;3;HT;298;2;210;210;1;Wehling;Non-UCP;Not;1;Not;Not;Not;0;0;0
P03C;3;HT;270;1;270;270;0;zat;Non-UCP;Not;1;Not;Not;Not;0;0;5,21
P03C;3;HT;546;2;322;546;0;voorovergebogen;Reproduction;Not;1;Not;Not;Not;0;0;2,14
P03C;3;HT;0;0;0;0;0;op;Reproduction;Not;1;Not;Not;Not;0;0;7,12
P03C;3;HT;484;1;484;484;0;zijn;Reproduction;Not;1;Not;Not;Not;0;0;6,96
P03C;3;HT;158;1;158;158;0;stoel;Reproduction;Not;1;Not;Not;Not;0;0;4,55
P03C;3;HT;0;0;0;0;0;met;Reproduction;Not;1;Not;Not;Not;0;0;7
P03C;3;HT;528;2;360;528;0;zijn;Reproduction;Not;1;Not;Not;Not;0;0;6,96
P03C;3;HT;0;0;0;0;0;hoofd;Reproduction;Not;1;Not;Not;Not;0;0;5,36
P03C;3;HT;0;0;0;0;0;in;Reproduction;Not;1;Not;Not;Not;0;0;7,36
P03C;3;HT;122;1;122;122;1;zijn;Reproduction;Not;1;Not;Not;Not;0;0;6,96
P03C;3;HT;426;2;242;426;0;handen;Reproduction;Error;2;Fluency;Minor;FluMin;1;1;5,23
P03C;3;HT;0;0;0;0;0;Hij;Non-UCP;Not;1;Not;Not;Not;0;0;6,7
P03C;3;HT;560;2;238;238;1;zat;Non-UCP;Not;1;Not;Not;Not;0;0;5,21
P03C;3;HT;336;2;124;336;0;er;Non-UCP;Not;1;Not;Not;Not;0;0;6,78
P03C;3;HT;144;1;144;144;0;zo;Reproduction;Not;1;Not;Not;Not;0;0;6,43
P03C;3;HT;586;3;254;500;1;verkreukeld;Reproduction;Error;2;Style;Minor;StyMin;1;1;2,08
P03C;3;HT;346;1;346;346;0;bij;Reproduction;Not;1;Not;Not;Not;0;0;6,62
P03C;3;HT;314;1;314;314;0;zo;Reproduction;Not;1;Not;Not;Not;0;0;6,43
P03C;3;HT;750;3;162;750;0;onbeweeglijk;Reproduction;Not;1;Not;Not;Not;0;0;2,57
P03C;3;HT;302;1;302;302;0;en;Reproduction;Not;1;Not;Not;Not;0;0;7,4
P03C;3;HT;344;1;344;344;0;bleek;Reproduction;Not;1;Not;Not;Not;0;0;4,85
P03C;3;HT;190;1;190;190;0;dat;Reproduction;Not;1;Not;Not;Not;0;0;7,1
P03C;3;HT;238;1;238;238;0;hij;Reproduction;Not;1;Not;Not;Not;0;0;6,7
P03C;3;HT;158;1;158;158;0;praktisch;Reproduction;Not;1;Not;Not;Not;0;0;4,18
P03C;3;HT;310;1;310;310;0;onzichtbaar;Reproduction;Not;1;Not;Not;Not;0;0;4,03
P03C;3;HT;270;1;270;270;0;was;Reproduction;Not;1;Not;Not;Not;0;0;6,61
P03C;3;HT;144;1;144;144;0;Zijn;Non-UCP;Not;1;Not;Not;Not;0;0;6,96
P03C;3;HT;630;3;226;630;0;camouflage;Non-UCP;Not;1;Not;Not;Not;0;0;3,3
P03C;3;HT;218;1;218;218;0;kon;Non-UCP;Not;1;Not;Not;Not;0;0;5,56
P03C;3;HT;0;0;0;0;0;niet;Non-UCP;Not;1;Not;Not;Not;0;0;6,96
P03C;3;HT;488;3;148;400;1;beter;Non-UCP;Not;1;Not;Not;Not;0;0;5,71
P03C;3;HT;304;1;304;304;0;aangezien;Non-UCP;Not;1;Not;Not;Not;0;0;4,88
P03C;3;HT;234;1;234;234;0;er;Non-UCP;Not;1;Not;Not;Not;0;0;6,78
P03C;3;HT;144;1;144;144;0;in;Non-UCP;Not;1;Not;Not;Not;0;0;7,36
P03C;3;HT;0;0;0;0;0;de;Non-UCP;Not;1;Not;Not;Not;0;0;7,73
P03C;3;HT;200;1;200;200;0;wachtkamer;Non-UCP;Not;1;Not;Not;Not;0;0;3,39
P03C;3;HT;0;0;0;0;0;ook;Non-UCP;Not;1;Not;Not;Not;0;0;6,69
P03C;3;HT;460;2;252;252;1;een;Non-UCP;Not;1;Not;Not;Not;0;0;7,41
P03C;3;HT;228;1;228;228;0;sfeer;CS;Not;1;Not;Not;Not;0;0;4,65
P03C;3;HT;0;0;0;0;0;van;CS;Not;1;Not;Not;Not;0;0;7,51
P03C;3;HT;896;4;220;414;0;slordigheid;CS;Error;2;Style;Minor;StyMin;1;1;2,12
P03C;3;HT;0;0;0;0;0;en;CS;Not;1;Not;Not;Not;0;0;7,4
P03C;3;HT;1334;6;174;938;0;ontmoediging;CS;Not;1;Not;Not;Not;0;0;1,87
P03C;3;HT;692;2;168;168;0;hing;Non-UCP;Not;1;Not;Not;Not;0;0;4,09
P03C;3;HT;428;2;274;274;1;Stoelen;Non-UCP;Not;1;Not;Not;Not;0;0;4,26
P03C;3;HT;100;1;100;100;1;en;Non-UCP;Not;1;Not;Not;Not;0;0;7,4
P03C;3;HT;536;2;296;296;0;asbakken;Non-UCP;Not;1;Not;Not;Not;0;0;2,43
P03C;3;HT;402;2;228;228;0;waren;Non-UCP;Not;1;Not;Not;Not;0;0;5,92
P03C;3;HT;194;1;194;194;0;naar;Non-UCP;Not;1;Not;Not;Not;0;0;6,65
P03C;3;HT;558;3;150;150;1;voren;Non-UCP;Not;1;Not;Not;Not;0;0;4,49
P03C;3;HT;582;3;212;374;0;getrokken;Non-UCP;Not;1;Not;Not;Not;0;0;4,36
P03C;3;HT;0;0;0;0;0;weg;Non-UCP;Not;1;Not;Not;Not;0;0;5,8
P03C;3;HT;830;4;120;406;2;van;Non-UCP;Not;1;Not;Not;Not;0;0;7,51
P03C;3;HT;158;1;158;158;0;de;Non-UCP;Not;1;Not;Not;Not;0;0;7,73
P03C;3;HT;588;3;122;588;0;muur;Non-UCP;Not;1;Not;Not;Not;0;0;4,83
P03C;3;HT;346;2;170;346;0;Overal;Non-UCP;Not;1;Not;Not;Not;0;0;5,17
P03C;3;HT;0;0;0;0;0;op;Non-UCP;Not;1;Not;Not;Not;0;0;7,12
P03C;3;HT;326;2;184;326;0;de;Non-UCP;Not;1;Not;Not;Not;0;0;7,73
P03C;3;HT;1450;6;210;704;1;vloerlagen;Non-UCP;Not;1;Not;Not;Not;0;0;0
P03C;3;HT;3484;13;312;2134;2;afdeklakens;CS;Not;1;Not;Not;Not;0;0;0
P03C;3;HT;0;0;0;0;0;vol;CS;Not;1;Not;Not;Not;0;0;5,34
P03C;3;HT;1674;9;150;1414;0;verfspetters;CS;Not;1;Not;Not;Not;0;0;0
P03C;3;HT;0;0;0;0;0;De;Non-UCP;Not;1;Not;Not;Not;0;0;7,73
P03C;3;HT;1610;8;108;1262;2;ruimte;Non-UCP;Not;1;Not;Not;Not;0;0;5,04
P03C;3;HT;356;2;138;356;0;werd;Non-UCP;Not;1;Not;Not;Not;0;0;6,21
P03C;3;HT;794;5;258;716;0;opgeknapt;Reproduction;Not;1;Not;Not;Not;0;0;3,63
P03C;3;HT;0;0;0;0;0;Hij;Non-UCP;Not;1;Not;Not;Not;0;0;6,7
P03C;3;HT;356;2;188;188;1;werd;Non-UCP;Not;1;Not;Not;Not;0;0;6,21
P03C;3;HT;432;2;222;432;0;opgeknapt;Non-UCP;Not;1;Not;Not;Not;0;0;3,63
P03C;3;HT;252;1;252;252;0;ter;Non-UCP;Not;1;Not;Not;Not;0;0;5,51
P03C;3;HT;848;3;372;848;0;nagedachtenis;Non-UCP;Not;1;Not;Not;Not;0;0;3,56
P03C;3;HT;288;1;288;288;0;aan;Non-UCP;Not;1;Not;Not;Not;0;0;6,76
P03C;3;HT;198;1;198;198;0;een;Non-UCP;Not;1;Not;Not;Not;0;0;7,41
P03C;3;HT;0;0;0;0;0;man;Non-UCP;Not;1;Not;Not;Not;0;0;5,85
P03C;3;HT;0;0;0;0;0;die;Non-UCP;Not;1;Not;Not;Not;0;0;6,9
P03C;3;HT;442;2;208;442;0;zich;Non-UCP;Not;1;Not;Not;Not;0;0;6,17
P03C;3;HT;198;1;198;198;0;vrijwillig;Non-UCP;Not;1;Not;Not;Not;0;0;4,14
P03C;3;HT;164;1;164;164;0;had;Non-UCP;Not;1;Not;Not;Not;0;0;6,07
P03C;3;HT;466;3;124;466;0;opgegeven;Non-UCP;Not;1;Not;Not;Not;0;0;4,16
P03C;3;HT;0;0;0;0;0;om;Non-UCP;Not;1;Not;Not;Not;0;0;6,77
P03C;3;HT;206;1;206;206;0;te;Non-UCP;Not;1;Not;Not;Not;0;0;7,02
P03C;3;HT;176;1;176;176;0;sterven;Non-UCP;Not;1;Not;Not;Not;0;0;4,62
P03C;3;HT;0;0;0;0;0;Een;Non-UCP;Not;1;Not;Not;Not;0;0;7,41
P03C;3;HT;2794;10;276;1870;1;sardonische;Reproduction;Not;1;Not;Not;Not;0;0;1,4
P03C;3;HT;638;3;176;176;1;oude;Reproduction;Not;1;Not;Not;Not;0;0;5,51
P03C;3;HT;1008;3;690;690;1;man;Reproduction;Not;1;Not;Not;Not;0;0;5,85
P03C;3;HT;216;1;216;216;0;van;Non-UCP;Not;1;Not;Not;Not;0;0;7,51
P03C;3;HT;708;3;292;292;1;een;Non-UCP;Not;1;Not;Not;Not;0;0;7,41
P03C;3;HT;650;4;164;164;3;jaar;Non-UCP;Not;1;Not;Not;Not;0;0;6,25
P03C;3;HT;200;1;200;200;0;of;Non-UCP;Not;1;Not;Not;Not;0;0;6,54
P03C;3;HT;1612;7;140;622;1;tweehonderd;Non-UCP;Not;1;Not;Not;Not;0;0;3,73
P03C;3;HT;92;1;92;92;0;zat;Non-UCP;Not;1;Not;Not;Not;0;0;5,21
P03C;3;HT;206;1;206;206;0;op;Non-UCP;Not;1;Not;Not;Not;0;0;7,12
P03C;3;HT;378;2;230;378;0;een;Non-UCP;Not;1;Not;Not;Not;0;0;7,41
P03C;3;HT;420;2;228;420;0;ladder;Non-UCP;Not;1;Not;Not;Not;0;0;3,78
P03C;3;HT;0;0;0;0;0;en;Non-UCP;Not;1;Not;Not;Not;0;0;7,4
P03C;3;HT;326;2;186;326;0;maakte;Non-UCP;Not;1;Not;Not;Not;0;0;5,28
P03C;3;HT;120;1;120;120;0;een;Non-UCP;Not;1;Not;Not;Not;0;0;7,41
P03C;3;HT;634;3;206;452;2;muurschildering;Non-UCP;Not;1;Not;Not;Not;0;0;3,28
P03C;3;HT;280;2;86;280;0;die;Non-UCP;Not;1;Not;Not;Not;0;0;6,9
P03C;3;HT;158;1;158;158;0;hem;Non-UCP;Not;1;Not;Not;Not;0;0;5,91
P03C;3;HT;216;1;216;216;0;niet;Non-UCP;Not;1;Not;Not;Not;0;0;6,96
P03C;3;HT;436;3;182;306;1;aanstond;Non-UCP;Not;1;Not;Not;Not;0;0;2,16
P03C;3;HT;266;1;266;266;0;Vroeger;Reproduction;Not;1;Not;Not;Not;0;0;5,03
P03C;3;HT;296;1;296;296;0;toen;Non-UCP;Not;1;Not;Not;Not;0;0;5,95
P03C;3;HT;232;1;232;232;0;mensen;Non-UCP;Not;1;Not;Not;Not;0;0;6,21
P03C;3;HT;240;1;240;240;0;nog;Non-UCP;Not;1;Not;Not;Not;0;0;6,53
P03C;3;HT;410;2;252;252;1;zichtbaar;Non-UCP;Not;1;Not;Not;Not;0;0;4,53
P03C;3;HT;572;3;194;448;1;verouderden;Non-UCP;Not;1;Not;Not;Not;0;0;0
P03C;3;HT;380;1;380;380;0;zou;Non-UCP;Not;1;Not;Not;Not;0;0;6,17
P03C;3;HT;224;1;224;224;0;zijn;Non-UCP;Not;1;Not;Not;Not;0;0;6,96
P03C;3;HT;520;2;340;340;0;leeftijd;Non-UCP;Not;1;Not;Not;Not;0;0;5,21
P03C;3;HT;994;4;428;652;2;rond;Non-UCP;Not;1;Not;Not;Not;0;0;5,56
P03C;3;HT;536;4;106;536;0;de;Non-UCP;Not;1;Not;Not;Not;0;0;7,73
P03C;3;HT;862;3;192;522;1;vijfendertig;Non-UCP;Not;1;Not;Not;Not;0;0;2,86
P03C;3;HT;0;0;0;0;0;zijn;Non-UCP;Not;1;Not;Not;Not;0;0;6,96
P03C;3;HT;426;2;188;426;0;geschat;Non-UCP;Not;1;Not;Not;Not;0;0;3,94
P03C;3;HT;0;0;0;0;0;Zo;CS;Not;1;Not;Not;Kudos;0;0;6,43
P03C;3;HT;538;2;440;538;0;ver;CS;Not;1;Not;Not;Kudos;0;0;5,15
P03C;3;HT;0;0;0;0;0;had;CS;Not;1;Not;Not;Kudos;0;0;6,07
P03C;3;HT;894;2;240;894;0;zijn;CS;Not;1;Not;Not;Kudos;0;0;6,96
P03C;3;HT;510;2;208;510;0;veroudering;CS;Not;1;Not;Not;Kudos;0;0;3
P03C;3;HT;420;1;420;420;0;ingezet;CS;Not;1;Not;Not;Kudos;0;0;4,62
P03C;3;HT;256;1;256;256;0;voordat;Non-UCP;Not;1;Not;Not;Kudos;0;0;5,25
P03C;3;HT;222;1;222;222;0;het;Non-UCP;Not;1;Not;Not;Kudos;0;0;7,49
P03C;3;HT;454;2;214;454;0;geneesmiddel;Non-UCP;Not;1;Not;Not;Kudos;0;0;3,72
P03C;3;HT;250;1;250;250;0;hiervoor;Non-UCP;Not;1;Not;Not;Kudos;0;0;4,78
P03C;3;HT;188;1;188;188;0;werd;Non-UCP;Not;1;Not;Not;Kudos;0;0;6,21
P03C;3;HT;614;2;244;614;0;ontdekt;Non-UCP;Not;1;Not;Not;Kudos;0;0;4,73
P03C;3;HT;0;0;0;0;0;Er;Non-UCP;Error;2;Style;Minor;StyMin;1;1;6,78
P03C;3;HT;730;3;220;402;1;stond;Non-UCP;Error;2;Style;Minor;StyMin;1;1;5,28
P03C;3;HT;280;2;156;156;1;een;Non-UCP;Error;2;Style;Minor;StyMin;1;1;7,41
P03C;3;HT;1022;4;336;792;0;bijzonder;Non-UCP;Error;2;Style;Minor;StyMin;1;1;4,99
P03C;3;HT;690;2;486;486;0;nette;Non-UCP;Error;2;Style;Minor;StyMin;1;1;3,87
P03C;3;HT;470;2;288;288;0;tuin;Non-UCP;Error;2;Style;Minor;StyMin;1;1;4,76
P03C;3;HT;180;1;180;180;0;op;Non-UCP;Error;2;Style;Minor;StyMin;1;1;7,12
P03C;3;HT;298;1;298;298;0;de;Non-UCP;Error;2;Style;Minor;StyMin;1;1;7,73
P03C;3;HT;302;2;58;302;0;muurschildering;Reproduction;Error;2;Style;Minor;StyMin;1;1;3,28
P03C;3;HT;210;1;210;210;0;waar;Non-UCP;Error;2;Style;Minor;StyMin;1;1;6,21
P03C;3;HT;200;1;200;200;0;hij;Non-UCP;Error;2;Style;Minor;StyMin;1;1;6,7
P03C;3;HT;262;1;262;262;0;aan;Non-UCP;Error;2;Style;Minor;StyMin;1;1;6,76
P03C;3;HT;312;1;312;312;0;werkte;Non-UCP;Error;2;Style;Minor;StyMin;1;1;4,87
